項目名,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
宿泊費,24974,35312,45625,47854,36836,63311,44950,48117,31448,55818,75371,100692,84555,85544,87652,92543,62710,82286,74857,99175
飲食費,19961 ,28190 ,36887 ,39984 ,27740 ,41406 ,30400 ,29156 ,30074 ,43846 ,34026 ,56050 ,47536 ,56933 ,57803 ,62129 ,43837 ,50630 ,47469 ,58878 
交通費,7635 ,13548 ,16680 ,16835 ,15033 ,19890 ,16372 ,20945 ,14459 ,18901 ,21864 ,33172 ,28332 ,33439 ,39204 ,42158 ,22038 ,27318 ,27578 ,34891 
サービス、娯楽費,3918,5057,5064,7998,4416,6468,6467,5586,6077,5923,3746,8341,5974,7357,7551,7621,7973,7862,7993,16170
買い物代,21549,45441,50287,112104,40248,41691,39424,37598,39595,63650,26416,22641,25252,32471,31060,32784,51554,23407,25178,32690
その他,47,30,36,95,149,54,3,17,268,240,0,34,87,41,287,0,143,34,144,236
